userName,content,score,at
Helka Devansya,"Barang mendarat dengan sempurna,real pict muantab...",5,2025-04-06 14:52:27
Iman Fauzi,👍,5,2025-04-06 14:51:19
bendol Lucu,keren,5,2025-04-06 14:49:54
Adi ismanto,bagus,5,2025-04-06 14:49:14
Nur Rahman,sangat puas,5,2025-04-06 14:48:57
Hanan Fajarina,udah CO udh TF bank tiba' dibatalin Dana masuk ke shopepay lagi kenapa GK dibalikin ke bank yg bersangkutan ? kan bisa CO lewat tokped / lazada aja...,1,2025-04-06 14:48:36
Adiana Purwacaraka,ocee,5,2025-04-06 14:46:57
yos murep,SANGAT MEMBANTU DALAM MENCARI BARANG KEBUTUHAN,5,2025-04-06 14:46:25
Rivai Nurhaqiqi,apk nee eror,1,2025-04-06 14:46:13
Sri Wati,sejauh ini baik dn bagus,5,2025-04-06 14:45:38
Nasyifa Apriliani,"the besttt sihh apk shopee ini, setiap aku beli barang hampir semua gratis ongkir, dan juga apknya bagus banget mau cari apa aja ada disini, di shopee juga ada banyak metode pembayaran yaitu: COD, transfer, shoope paylater dll pokoknya masi ada banyak metode pembayarannya",5,2025-04-06 14:45:14
Mr. 01 Gaming,bagus sekali,5,2025-04-06 14:45:13
Alden Arjuna,aplikasi ini sangat bagus dan berguna bagi pembeli,5,2025-04-06 14:45:05
Mimimi,sangat bagus,4,2025-04-06 14:44:49
Ramdan Feri,sesuai ekspektasi,5,2025-04-06 14:44:48
Freezy Project,"paket di tahan di gudang, tapi kata agen klo mau di kirim harus transfer, ga jelas ni sekarang",1,2025-04-06 14:43:38
Lana Kumala,kenapa Shopee aku anehh ya aku mesen barang tapi chat dari kurir sering ga masuk,4,2025-04-06 14:43:31
Ari Purnama,kak ini knph aplikasi lgi gangguan tah,5,2025-04-06 14:43:15
Nurul Ata,apik,5,2025-04-06 14:42:53
Water Mark,suka kecuali kalo ongkir mahal,4,2025-04-06 14:42:43
Wiranda Nanda,"komplinan pelangan TDK di tindak lanjuti,hanya bilang sabar dan sabar,trus proses pengembalian dana karna keterlambatan pengiriman barang juga lama",1,2025-04-06 14:41:57
COKRO WIJOYO KUSUMO,joosss semua 🙏🙏🙏🙏🙏,5,2025-04-06 14:41:14
Indra Yuspika,okkehh,5,2025-04-06 14:40:57
jendral jejen,"saya kasih bintang satu,, dulu aplikasi nya enak nyaman, tapi sekarang aplikasi nya gak nyaman,tiap buka aplikasi malah langsung ke video,suara video nya gak mau berhenti walau sudah ke luar aplikasi,saya nelpon pun suara video nya masih ada gak mau berhenti,pusing jadi nga gak nyaman banget",1,2025-04-06 14:40:32
Lalu Arde,"Perubahan pelayanan Shopie sekarang sudah mantab, tinggal bersihkan seller² yang tidak amanah di Shopie",5,2025-04-06 14:40:18
Satrio Ramadan,Kenapa si setiap dia barang ga sesuai atau gagal pengiriman sistem COD di nonaktifin minimal 5 ke ini 2 udah lama nunggunya 60 hari,2,2025-04-06 14:39:37
muhamad Raffa Triananda Wasito,apk tak guna pen batalin respon nyalama mending lazada sama tiktok shop,1,2025-04-06 14:39:31
Bang One's,thanks shopee... terus maju dan jaya selalu,5,2025-04-06 14:39:16
BACOTT AHDAN BOT,bgus,5,2025-04-06 14:38:48
Charles Atrox02,Menyenangkan dalam berbelanja,5,2025-04-06 14:38:12
Qien Qembi,"shopee makin buruk,pengiriman jnt di tiadakan,saya sebagai penjual menjadi kesulitan utk pengiriman barang,dan telah mengakibatkan saya banyak kerugian,pelanggan jadi kabur karna pengiriman jnt tidak ada,pengiriman lain yg di sediakan shopee banyak buruknya,tidak ada tnggung jawab dan pelayanan yg buruk,utk pengiriman standar atau reguler tolong perbaiki lagi, adakan lagi fitur non cod karna itu banyak merugikan penjual,barang bagus malah di return seenaknya..",1,2025-04-06 14:38:11
Darmo Cat,top,5,2025-04-06 14:37:37
Wani,mantap banget,5,2025-04-06 14:36:36
Orang Nyasar,sangat memuaskan pelanggan atau konsumen dengan baik,5,2025-04-06 14:36:32
Riznaldi Albar,mantap,5,2025-04-06 14:36:24
Fuden stark,bagus banyak gratis ongkir,5,2025-04-06 14:35:56
Andri NFS001,"pembaruan terus, tpi system eror terus🤦🤦",3,2025-04-06 14:35:31
Jusni Anti,baik,5,2025-04-06 14:34:48
Hendri Hen,memuaskan,5,2025-04-06 14:34:46
Hastin Winarsih,"mau beli apapun semua ada di shopee,harga bersahabat,dan mempermudah kita untuk beli apa saja 😍",5,2025-04-06 14:33:23
Agus Budi,aplikasi bagus dan sangat membantu,5,2025-04-06 14:33:18
Salsabila Haura,murahh harga nya,5,2025-04-06 14:32:44
Wulan Ndari,👍👍👍👍,5,2025-04-06 14:32:32
Arkha H.R.F,sangat bagus,5,2025-04-06 14:32:28
Dens Tieck,ok,5,2025-04-06 14:31:09
kice Gaming,beli .di shopee enak murah tapi ada toko di shopee kurang amanah .barang yg di beli tidak sesuai yg di pesan ....terima kasih shopee,5,2025-04-06 14:30:18
Aisyah CahyaNingrum,"sangat di rekomendasikan kalo belanja online disini selain murah disini pengantaran nya juga cepat dan sangat amanah jugaa tokonya, 👍☺️🤲🤲☺️",5,2025-04-06 14:29:58
Mat Jupri,apk nya bagus tapi kok sekarang gk bisa cod tolong ya di perbaiki lagi karna saya tidk punya spay leter dan bank tolong ya,5,2025-04-06 14:28:03
May Zhania,bagus saya tidak pernah ketipu alhamdulilah walau pun saya masih umur 12 saya suka belanja di shoppy saya sangat suka shoppy i love you,5,2025-04-06 14:27:39
Andi Skrening Djemma,memuaskan,5,2025-04-06 14:27:23
Dony Ary,top,5,2025-04-06 14:26:54
Arsenio Duwipradibta,shopi sangat baik dan sangat bermanfaat. beli apa aja oke👍🥴😊,5,2025-04-06 14:26:42
Baiq Zurma Wartini,"aplikasi ini sangat bagus dan bermanfaat, aplikasi Shopee bisa untuk berbelanja dan mendapatkan banyak Voucher voucher menarik lainnya dapet diskon besar besaran pokoknya bagus deh🤩👍🙏🏻",4,2025-04-06 14:26:07
M. Fajar. Sidik,terima kasih shopee,5,2025-04-06 14:26:04
Hey Sam,sukaaaa,5,2025-04-06 14:25:39
Zereen Faeyza,aplikasi nya bagus banget..,5,2025-04-06 14:25:34
Indra Kusumadinata,Mudah dalam melakukan pembelanjaan.,5,2025-04-06 14:25:31
Dedi Saputra,mantaf sukses terus👍👍👍👍👍👍,5,2025-04-06 14:25:08
Des Wita,"membantu untuk membeli barang, soalnya kalau kita kan kerja jadi gak sempat beli barang kebutuhan.. semoga shoopee bisa amanah amin ya rabbal alaminnn.",5,2025-04-06 14:25:06
Kholiq Dill,bagus dan menarik,5,2025-04-06 14:24:00
Joseph Agus Widya,sangat terpercaya,5,2025-04-06 14:23:59
Wito Dwi kuncoro,Shopee benar benar cepat pengiriman barang nya dari pada toko yang lain aku kasih bintang 5 dehh😁,5,2025-04-06 14:22:11
Alisa Putri,bagus banget bisa belanja belanja barang barang yang unik lucu,5,2025-04-06 14:21:20
Ganesh Gideon Palit,baguss pokonya kerek,5,2025-04-06 14:20:59
purwanto octa,mantaaap,5,2025-04-06 14:20:26
RUMAH AYAM KOKOK,Makasih shopee barang ok sudah sampai sesuai dengan gambar dengan selamat sampai tempat tujuan dengan selamat,5,2025-04-06 14:20:05
Pur yani,sangat puas,5,2025-04-06 14:19:29
Dini Fadillah,app yg sangat membantu,5,2025-04-06 14:18:23
Umar Sidiq,pengalaman belanja lebih praktis ...,5,2025-04-06 14:17:57
zaky fahsyi,"kurirnya gableg laporan udah sampe, di tungguin kagak sampe sampe sampe malah di bikin retur barang ke penjual dengan sepihak.",1,2025-04-06 14:17:24
Helmi Syarif,aplikasi yang sangat keren,5,2025-04-06 14:17:12
Sri Mulyati,Pengirimannya lama karena ketika melakukan pengiriman kurir tidak menghubungi melalui nomor yang sudah di cantumkan untuk bertanya lokasi tepatnya,3,2025-04-06 14:16:31
Zahir Adit,semenjak yang pihak pengirim paket bukan J&T pengirimannya selalu mepet Dan terlambat,2,2025-04-06 14:16:14
ayu sumadi,pasar online,5,2025-04-06 14:15:46
Maman Suhardiman,sangat baik,5,2025-04-06 14:15:24
Adji Prasetyo,sering dapat gratis ongkir.,5,2025-04-06 14:15:02
Raka Tania,Kenapa Akun shope Saya gak bisa kebuka??,5,2025-04-06 14:14:46
Putu Yasa,sangat bagus bisa membantu semua 🙏🙏🙏,5,2025-04-06 14:14:42
Muhamad Hidayat,bagus pelayanan nya,5,2025-04-06 14:14:37
herrinta ragil nugraha,mantaaps,5,2025-04-06 14:14:08
Syahrul Hidayat,selama ini bagus bnyak promo voucer gratis ongkir mantap,5,2025-04-06 14:13:36
Amelia Dwi Herawati,"sumpah, tolong ya perbaiki sistem aplikasi nya. tiap buka app shopee langsung kebuka fitur shopee video...ganggu banget. bikin hp cepat ngelag, tolong dipertimbangkan lagi gimana caranya biar pas buka app nya gak langsung ke fitur itu, gak semua orang suka sama fiturnya. :)",1,2025-04-06 14:13:15
Salamun Hiya,belanja mudah gak ribet bisa sambil rebahan,5,2025-04-06 14:13:07
Salim Liunokas,shopy termurah,5,2025-04-06 14:13:05
Nur Hidayati,keren sihh,5,2025-04-06 14:11:45
ainul yaqin,Oke bangat karena sudah lama pake,5,2025-04-06 14:10:38
Faid Elek,bagus poll,5,2025-04-06 14:09:31
M muz randa M muz randa,Sangat bagus,5,2025-04-06 14:09:21
Gito Susanto,semakin kesini semakin buruk pelanyanan nya.. aq kecewa banget,1,2025-04-06 14:07:58
Suyatman Suyatman,apkny okelah..cuman suka kesel sama penjualny olhny kadang gk amanah.Sekarang kita bisa pakai cod cek dulu..jadi gk takut lgi mau pesan apapun..Dan tolong banyakin diskon dan gratis ongkirnya yg gk ada nominalnya yaa~.. Thank you shopee,5,2025-04-06 14:07:43
Wahid Muammar,👍,4,2025-04-06 14:06:48
Eka Febrianto,apk yang josss,5,2025-04-06 14:06:33
Saiful Aziz,gk tau bisa buat belanja p gk,3,2025-04-06 14:05:59
Nizam Dimas,belanja online yg memuas kan hanya di Shopee,5,2025-04-06 14:05:53
Dalvon Abas,sesuai pesanan,5,2025-04-06 14:05:52
Azmi Nasution,baguss,5,2025-04-06 14:05:32
Nabila Oppo,aplikasi sangat mudah,5,2025-04-06 14:05:28
Lhalu Aguhs Aguhs,sangat bagus untuk blanja onlain,5,2025-04-06 14:05:23
Fitriaty Puhi,"Belanja tanpa was was, yaa di Shopee",5,2025-04-06 14:04:05
Lenny Silitonga,Bagus sekali apalagi gratis ongkir dijamin kalian betah dishoppe,5,2025-04-06 14:04:03
Sumiran Miran,"Belanja di shopee lebih cepat danhemat,apapun yang di butuhkan pasti tersedia",5,2025-04-06 14:03:24
Arinie Noor Khaela,"seru banget scrol doang bisa dapet koin gratis dan bisa ditarik , seru deh the best pokoknya",5,2025-04-06 14:02:37
Zamzz gntng,"seller nya ga amanah, udah pesen 4 hari dikirim² CO ditoko lain juga sama tidak dikirim² jangan download",1,2025-04-06 14:02:30
lia apriliana,pengiriman tepat waktu,5,2025-04-06 14:01:06
Jati Aji,"Njir shopee expres nya lelet bgt , 2 hari bertahan di gudang ciracas ga gerak² , apa ini ongkir gratis sengaja di lama² in, padahal tujuan nya ngga jauh ke kebumen, gmana kalo kirim ke ujung timur pulau jawa bisa berapa bulan ?",5,2025-04-06 14:00:46
Bahctiar Rawr,shoppe express pengiriman lamaaa anjirrrrrr 6 hari baru nyampek gudang di anterin kerumah ada 4 jam lebih lamaaaaaaaaa mending jntttt,3,2025-04-06 13:58:26
Luxson Moch,"Pengalaman berbelanja di Shopee memang menyenangkan, namun ada juga yg kurang menyenangkan ketika bertemu dengan Seller2 yang tidak amanah. Maka kita konsumen harus benar-benar jeli memahami setiap deskripsi, harga dan respon Seller untuk meminimalisir kerugian di pihak konsumen.",5,2025-04-06 13:57:56
Alin Alin,aplikasi bagus membantu sekali,5,2025-04-06 13:56:35
Ii Dasrini,mantap,5,2025-04-06 13:55:25
Abdillah Al-Fauzan Manhia,gw suka gaya lo,5,2025-04-06 13:55:02
Kartu Gaple Domino,"Aplikasinya lemot,ngelag,foto gambar gak mau kebuka,kalau bisa kalau bikin aplikasi apapun aplikasinya 10mb atau 15mb,kalau bikin aplikasi kalau bisa yang bisa di gunakan di hp ram besar hp ram kecil,kalau bisa pembayaran bayar melalui kurir bayar di tempat,barang yang asli original apapun barangnya yang asli original,jika belanja pesanan cepat sampai,misal contoh pesan tanggal 3 datang tanggal 4 atau tanggal 5,kalau bisa sesuai gambar,sesuai estimasi,kalau bisa tanpa ongkir cukup harganya saja.",5,2025-04-06 13:54:35
Rina 123 Silalahi,baik,4,2025-04-06 13:54:33
Samkhan Khan,belanja di shopee sangat membantu sekali,5,2025-04-06 13:53:44
Wahyu Hidayah,Shopee pay nya gak bsa di gunakan untuk apa download Shopee pay tpi tidak bsa buat bayar belanjaan,3,2025-04-06 13:53:38
Prasetyo Gunawan,oke baik sekali nyaman sekali,5,2025-04-06 13:53:22
Shofi Abdul Manaf,sangat bagus untuk di gunakan berbelanja online,5,2025-04-06 13:52:56
Ahmad Shobri,baguss,5,2025-04-06 13:52:07
Syarif Hidayat,market place terbaik,5,2025-04-06 13:51:21
BEL.SKIBIDI,sekarang pengiriman jadi nya lama,2,2025-04-06 13:51:19
Manda Prayoga,menarik🤓🤓,5,2025-04-06 13:48:06
sabtu minggu,Harga terjangkau,5,2025-04-06 13:47:06
Humas 2 - Ali Pauji,bagus sekali,5,2025-04-06 13:47:02
Akun Amel,bagus banget banyak vocer gratis ongkir + banyak promonya,5,2025-04-06 13:46:42
Nur Aurakasih,sukaa,5,2025-04-06 13:46:23
Upik Saila,"bagus banget, dengan adanya Shopee saya bisa berbelanja secara online",5,2025-04-06 13:45:04
Aulya Adelya,ok,3,2025-04-06 13:44:53
Tommy Pratama,the best,5,2025-04-06 13:44:52
Dahmirusafuan,baguss,5,2025-04-06 13:42:42
Sapu lidi,"pesanan tidak sampai ditujuan dan dibatalkan, minta voucher kompensasi tidak ditanggapi. Buruk",1,2025-04-06 13:42:10
Melike Linda Susanti,kenapa shopeefood sulit bgt dapet driver 🥲,3,2025-04-06 13:42:01
Sumardin,sangat baik,5,2025-04-06 13:41:54
Tazkia Mahifal,bagus banget apk shopee ini sngt mmbntu,5,2025-04-06 13:41:54
Ahmad Ramadhani,"shopee videonya aneh padahal saya tidak ada mencari tentang 18+, tapi malah banyak muncul shopee video yang bersifat porno dan tidak seharusnya saya liat, tolong perbaiki ini saya tidak mau meliat hal yang tidak senonoh lagi.",1,2025-04-06 13:41:53
Maman Ver96,"mkin kesini makin malas belanja di shopee dulu awal2 asik bisa cod terus, sekarang saya kalo belanja harus sistem transfer. sangat ribet jadinya",3,2025-04-06 13:41:50
dive apandi,good,5,2025-04-06 13:41:50
Ihya Budi,dulu:😄 sekarang:😒,1,2025-04-06 13:41:11
Wahyu Angga Saputra,"sudah buruk malah hapus ekspedisi j&t,, kalian sukses krna ekspedisi j&t,, sya selalu ganti ekspedisi j&t dri dlu saat mau pesan malah tdak kerjasama lagi,, habis manis sepah dibuang yah. beralih k'tiktok aja ekspedisi j&t ada disana.",1,2025-04-06 13:40:12
fany Rvl,sekarang agak lamaaaa,3,2025-04-06 13:40:10
Fahrul Irawan,oke shopee memudah berbelanja,5,2025-04-06 13:40:00
M Faiz,spx pengiriman lama,1,2025-04-06 13:39:47
Ryzerr Rorrr,skibidi banget,5,2025-04-06 13:39:26
sonny suharja,mantap,5,2025-04-06 13:38:45
Anwar Channel,Ok... siiiip.,5,2025-04-06 13:38:08
Hapid Maulana,baguuus bangeeet 👍🙏,5,2025-04-06 13:37:41
Khoirul Anam,sangat bagus,5,2025-04-06 13:36:43
Wagiyo Serkel kayu,bagus,5,2025-04-06 13:36:12
Dewa Zeus,mengganggu,1,2025-04-06 13:35:04
Linda Fitriani,saya sangat puas dg Shopee dan lagi barang ya juga bagus,5,2025-04-06 13:34:50
Ridho Cmin,susah ambil paylater mending ke lazada,1,2025-04-06 13:34:50
Zahra Alia,terjamin barangnya,5,2025-04-06 13:33:26
Hanafi Nasution,"tolong dicek dulu sebelum dikemas soalnya aku pesen amplifier yg datang keset dan jika gak dicek berarti perusahaan ini bagian dari kelompok penipu bngt, percuma kami percaya ke perusahaan ini jika gak ada dedikasi yg saling menguntungkan antara pembeli dan perusahaan ini",2,2025-04-06 13:33:05
Bambang Sumantri,sangat membantu,5,2025-04-06 13:32:53
Zul Faris,terimakasih,5,2025-04-06 13:30:04
Effendieffendi17,puas belanja dishopee,5,2025-04-06 13:29:52
Budi Dhyman,sangat bagus dan cocok berbelanja online dan tidak penipu,5,2025-04-06 13:29:16
Ajang Mutakin,banyak pont nya plus gratis ongkir pula,5,2025-04-06 13:28:28
Rama Alwie,bagus,5,2025-04-06 13:27:19
Yusuf,"joss, smoga makin makmur kedepannya. menyediakan banyak vocher dan harga terjangkau.",5,2025-04-06 13:26:56
David Christanto,bagus!,5,2025-04-06 13:26:52
Ijulu Manalu,Mantap,5,2025-04-06 13:26:51
Awi Ardiyan putra,mantap nih,5,2025-04-06 13:26:45
Ayu Fitriyanti,enakk banget murah lgi😌😌,5,2025-04-06 13:26:33
Toha Aja,sangat bermanfaat dn membantu good,5,2025-04-06 13:25:36
vie Asman,bqgus,5,2025-04-06 13:24:52
DAFFA IBNU HAFIZ,Updet sekarang 👍,5,2025-04-06 13:24:01
Dian Indriyani,The Best !!,5,2025-04-06 13:24:00
Agus Teyo,aplikasi ini sangat bagus,5,2025-04-06 13:23:20
apriyan mulya,Terimakasih shopee,5,2025-04-06 13:23:14
Nur Masril,manatap,5,2025-04-06 13:21:48
Abdullah Abdullah,bagus cepat terpercaya,5,2025-04-06 13:21:30
Dinaa Diin,sangat bagus,5,2025-04-06 13:20:55
Baihaki goen,mantap,5,2025-04-06 13:20:21
T1.11 Anida shila,Karena setiap di pencet tombol pencarian/profil tidak bisa di buka padahal sinyal bagus,2,2025-04-06 13:19:22
Alini Nov,sngat snang blnja dishopee krna brng2nya brkwlitas dn hrga trjangkau,5,2025-04-06 13:19:10
Gani Iskandar,"pencarian barang yg dibutuhkan sangat mudah, pengiriman selalu lebih cepat dari perkiraan. bebas ongkir.. olshop terbaik menurut penilaian saya..",5,2025-04-06 13:18:43
Karim Lihiya,setiap pesan pesanan sesui,4,2025-04-06 13:18:24
Lidya Yulirahmawati14,i love you,5,2025-04-06 13:17:52
Khairul Ikhwan,"layanan pengiriman sekarang kacau sangat lamban ,spx expres ga selihay jnt . aplikasi oke ,barang oke ,tapi percuma kalo pengiriman busuk.",2,2025-04-06 13:17:49
vhiky bigreds,"baik untuk berbelanja online di shopee, tapi kadang saya tidak suka karena lag",4,2025-04-06 13:17:40
Ahmad Sobandi,Di aplikasi shopee ini semuanya serba ada dan hemat di kantong👍,5,2025-04-06 13:17:30
Putri Alisha,"cepat,murah ,barang bagus",5,2025-04-06 13:17:07
M Aziz,"pliss lah, lu kalo gue mau download musik di googgle lu gk usah muncul lah, dikit dikit pas download musik tiba tiba masuk ke shopee gajelas bnget, btw aplikasi shopee bagus :)",5,2025-04-06 13:17:05
Farida Hetty,suka sekali,5,2025-04-06 13:16:42
Sri Haryanti,"Senangnya belanja di online shopee,mau belanja apa saja semua ada,hanya saja kecewa dengan penjual yg gak anamah",5,2025-04-06 13:15:45
Nesstel,"pengiriman spx selalu telat gak rekomen banget, mana jnt udah gak bisa hadeh situs belanja apaan kayak gini pilihan pengiriman hanya 1 mending belanja di toko hijau kalau kayak gini!!!",1,2025-04-06 13:14:55
Rahmat Hidayatullah Ahmat,"ok banget Aplikasi, ini",5,2025-04-06 13:11:53
Meysa Agustia,saya suka bgt dngn shope amanah banget buat apa yg dipesannya debess polll🔥🔥,5,2025-04-06 13:11:42
Irgi Kasep,keren,5,2025-04-06 13:10:06
Burhanudin Burhanudin,mantap sangat membantu,5,2025-04-06 13:09:19
Kingz GRES,"Shoppe untuk gratis ongkir nya mohon di perhatikan lagi, masa beli barang kaya beli ongkir mahal banget di Kalimantan sekian terima kasih",5,2025-04-06 13:08:11
Heny Sawit,puas sekali belanja di shopee,5,2025-04-06 13:07:30
Deni Alex,kepada yth shopee kenapa shopee belum ada menu blokir pada toko yang tak kami ingini yang ada hanya ikuti saja kami konsumen ada hak untuk blokir juga terima kasih atas kerja samanya,5,2025-04-06 13:06:24
Juli Ramadhani,Great Shopee,5,2025-04-06 13:05:04
Yeremias,Bagus bajunya,5,2025-04-06 13:04:42
Rafa Izhan,muncul terus gajelas gw pengen download apa munculnya pasti ini gajelas,1,2025-04-06 13:04:30
Danil Hardiansah,sangat ok,5,2025-04-06 13:04:00
Anisa Anisa,aplikasi terkeren . pilih2 produk yg di suka,5,2025-04-06 13:03:57
Tutik Diah,👍👍,5,2025-04-06 13:02:40
Bonge242 (games),"SELALU KORUPSI WAKTU, CONTOH, AWAL ORDER ESTIMASI SAMPE TANGGAL 5 - 6.. BEGITU BARANG UDAH DIJALAN, ESTIMASI SAMPAI BERUBAH TANPA KONFIRMASI 6-7. SANGAT SERING KORUPSI WAKTU!!",1,2025-04-06 13:01:28
MANSEA SINALO,shopee luar biasa,5,2025-04-06 13:01:24
kartika sari,sangat baik dengan pelayanan.,5,2025-04-06 13:01:02
Nia Lestari91,layanan dan respon yang sangat baik..,5,2025-04-06 13:00:26
Awang Ty,"kecewa banget sekarang sama shopee jasa kirim udah bagus"" cepat kaya j&t malah di berhentikan malah di ganti spx jasa kirim siput lambat ples ribet",2,2025-04-06 13:00:21
Razi Alkhawarizmi,mantap,5,2025-04-06 13:00:03
untukakun pribadi,baik,5,2025-04-06 12:59:42
Hairul Arul,TOP pake bangettt👍,5,2025-04-06 12:59:32
Samboja Boja,shopee slalu OK ...Mantap sukses slalu👍,5,2025-04-06 12:59:19
Haura Iza,bguss bgttt,5,2025-04-06 12:59:15
Angelina Patricia Durra,"tolong pengiriman nya di percepat apalagi klo udah di Sunter DC bisa berminggu"" anjay tolong itu Sunter DC di pecat""in aja karyawannya trs tutup aja Sunter DC bikin gak nyaman aja belanja di shopee GK kayak dulu jadi mau pindah aja ke toko sebelah",1,2025-04-06 12:59:06
Anietha April,syuka pokoknya 👍🏻❤️ tetap berikan free ongkir ya,5,2025-04-06 12:58:51
jauk sutiyono,sangat baguss sangat puas sekali,5,2025-04-06 12:57:54
Andi Anugrah,toko yg amana.,5,2025-04-06 12:57:18
Farha Nadia,"baru coba,tapi bagus..puas mudah-mudahan tetap bagus atau lebih bagus lagi",5,2025-04-06 12:56:42
Gomblong renggo,pengiriman shoppe food terlalu lambat,2,2025-04-06 12:56:19
Aku Kamu,good job,5,2025-04-06 12:56:09
Danaura Raisa (Echa),bagus banyak diskon,5,2025-04-06 12:54:00
Alfa Raafi,jan jos,5,2025-04-06 12:53:57
Tio AMANDA,"banyak lag, aplikasi banyak install aplikasi harus install sea bank kirim pake e wallet harus install shope pay. trus banyakin aja tuh biasa pelayanan sampe beli pulsa sama listrik aja di shopee pada mahal kalo di bandingin ecommer lain.",2,2025-04-06 12:53:38
Fathu Rohman,tepat cepat,5,2025-04-06 12:53:17
Febri Maulani,sedikit ada masalah dengan aplikasi nya,3,2025-04-06 12:53:02
Fahri Mad2,maaf ini gimana ya kok shopee food nya jadi cuma 3km sebelum nya bisa,1,2025-04-06 12:52:53
Febriyana Anggraini,baguss,5,2025-04-06 12:52:51
Djaminem Djaminem,suka banget pesan online di shopee,5,2025-04-06 12:52:01
Jody Say,Kenapa ya sekarang kalau mau checkout suka buffering loading nya lama ... muter trs,5,2025-04-06 12:51:42
Eren Putri,bagus,5,2025-04-06 12:51:25
Soiman Rossi,belanja dengan shope ternyata pengiriman cepat yah 11-12 sih amah lazada.baru pertama kali coba belanja pake shope...,5,2025-04-06 12:50:04
akifa nailla,kenapa y akhir2 ini susah ngajuin spinjam dua kali ajuin di tolak padahal udh gk punya pinjaman apa karena telat dua hari,5,2025-04-06 12:49:39
Panda P,kntpl iklanya ganggu pada hal udah di unduh,1,2025-04-06 12:49:15
Kas Hadi,bagus bisa buat beli barang di shopee murah pokonya aplikasi good,4,2025-04-06 12:48:50
Wina Asrarina,OTOMATIS ke vidio macam TikTok kalau buka appnya gila pembusukan otak di mana mana,1,2025-04-06 12:48:26
bila,saya sangat senang dengan aplikasi ini. memudahkan saya untuk berbelanja tanpa harus pergi ke physical shopnya. varian barang juga banyak dan lengkap memudahkan untuk bisa lihat berbagai produk. keren deh!,5,2025-04-06 12:48:04
Rifki Renaldi,mantap,5,2025-04-06 12:46:57
Fuad Arafath,Sangat memuaskan,5,2025-04-06 12:46:28
Junaedi (Junskyy),"aplikator ga ada kasian""nya sama sekali sama driver nya sendiri",1,2025-04-06 12:46:05
greta kayla,bgus,4,2025-04-06 12:46:01
TNA SAMANTHA,sejauh ini udah 10th pakai bagus ga ada kendala cuma kadang kurir nya yg bikin emosi jiwa suka cancel brang seenaknya aja,5,2025-04-06 12:45:46
fendy,ok,5,2025-04-06 12:45:27
Bang Win,ok,4,2025-04-06 12:45:03
jack shathreeyow,"awalnya prtma pakai Shopee ongkir ny mahal tp smakin ksni bnyk gratisan ongkir dan pengiriman lbh detail dan lbh mudah mengecek keberadaan paket yg tlh dikirimkan, dan bnyk fitur, wlo pun belum bisa menggunakan fitur shopeepay later wlo pun sdah berkali"" daftar slalu ditolak (WHY)",5,2025-04-06 12:44:36
Muh Muhaimin,Pusat belanja online terpercaya,5,2025-04-06 12:43:54
Sani Sulaeman,"pada umumnya baik pada.promosi kursi roda lipat bisa dipasang tidur harga 5 xx, tapi saat dipesan yg sesuai gambar harganya diatas 9xx. kalau kurang dicermati nanti yg datang cod 9xx. saran: kalau barang habis jangan dpromosikan. tks sekedar saran",4,2025-04-06 12:43:05
Rizki Tara,Mantap,5,2025-04-06 12:41:11
Rifqi Al-gazali,top,5,2025-04-06 12:40:23
Adiva Lutfi,"ko klo aku buka shope suka ngelag ya, gambarnya gada smua",4,2025-04-06 12:40:19
Yulianti Dewi,selalu membatu pas banyak kahayang,5,2025-04-06 12:39:54
Zaidan Zulkarnain,sgopee memang kereen dan recommended,5,2025-04-06 12:39:37
Romadhon Syahrur,belanja mudah dan hemat,5,2025-04-06 12:39:34
Tya Bano,bagus,5,2025-04-06 12:39:23
Muhamat Asrof ali,"tepat waktu,ramah dll",5,2025-04-06 12:38:35
Arisman 81,"harapan saya semoga aman belanja online disini, dan semoga tak ada penjualan tipu2, jadilah penjual yang amanah bagi konsumen.",5,2025-04-06 12:38:27
Rere tour,aplikasi yg sangat bagus untuk belanja online anda,4,2025-04-06 12:35:55
Humaira Nisaa,barang dan harga sesuai harapan 👍,4,2025-04-06 12:35:40
Sailor Moon,"buruk, sangat buruk, pengalaman pembayaran dgn metode spaylater di merchant sangat buruk, tidak aman, pmbli tidak pernah menerima barang apapun disuru bayar spaylater, hati hati blnja dgn spaylater tidak aman.",1,2025-04-06 12:35:29
Bks Bksksbbn,sangat baik,5,2025-04-06 12:35:16
Tabah hijrah Surati,baguss,5,2025-04-06 12:34:17
Abim Hadi,mantap,5,2025-04-06 12:33:15
ABD Rahman,terlalu kecil poin yang yg di dapatkan di program check in harian,4,2025-04-06 12:33:13
Miswandi Aseng,bagus,5,2025-04-06 12:32:48
Ar Tjomo,sangat bagus,5,2025-04-06 12:30:47
haekal anam,bagus,5,2025-04-06 12:30:36
Ahmad Arif,bagus,4,2025-04-06 12:29:46
Pujiwati Pujiwati,aplikasi bermanfaat,5,2025-04-06 12:29:44
Dewi Puspitasari,terbaik👍,5,2025-04-06 12:29:42
Wijianto Aja,"walaupun terkadang promo GK sesuai yang dikirim,, menurut saya wajar karena harga sesuai produk,,, kedepannya klo bisa untuk tokonya yang amanah harus sesuai produk yang dipesan",5,2025-04-06 12:29:38
Mas Darno,kualitas bagus pas di pasang di mobil kijang LX pengiriman cepat,5,2025-04-06 12:28:54
